,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
0,9007640000,16723525,bitcoin,1512549554,213049346738.00,21000000,Bitcoin,0.12,7.33,17.45,1,12739.5,1,BTC,16723525
1,1551330000,96165368,ethereum,1512549553,43529446198.00,,Ethereum,-0.18,-3.93,-7.33,0.0361767,452.652,2,ETH,96165368
2,1111350000,16840438,bitcoin-cash,1512549578,25295852764.00,21000000,Bitcoin Cash,1.65,-5.51,-4.75,0.12005,1502.09,3,BCH,16840438
3,2936090000,2779530283,iota,1512549571,14752245796.00,2779530283,IOTA,-2.38,83.35,255.82,0.00042418,5.30746,4,MIOTA,2779530283
4,231505000,38739145009,ripple,1512549541,9365343263.00,1E+11,Ripple,0.56,-3.7,-14.79,1.93E-05,0.241754,5,XRP,99993093880
5,228943000,7736420,dash,1512549542,5794075569.00,18900000,Dash,1.22,-3.31,10.64,0.0598561,748.935,6,DASH,7736420
6,409342000,54153908,litecoin,1512549542,5634497528.00,84000000,Litecoin,-0.17,0.8,3.68,0.00831553,104.046,7,LTC,54153908
7,138407000,16690974,bitcoin-gold,1512549582,4920065049.00,21000000,Bitcoin Gold,-0.86,-8.65,-11.24,0.0235588,294.774,8,BTG,16790974
8,549860000,15442957,monero,1512549544,4331687542.00,,Monero,-2,25.65,41.23,0.0224177,280.496,9,XMR,15442957
9,61647500,25927070538,cardano,1512549579,3231420437.00,45000000000,Cardano,-0.28,-5.8,-8.25,9.96E-06,0.124635,10,ADA,31112483745
10,402067000,98125659,ethereum-classic,1512549556,2866554689.00,,Ethereum Classic,-0.2,-3.47,-7.7,0.00233476,29.2131,11,ETC,98125659
11,31728500,8999999999,nem,1512549559,2583927000.00,,NEM,-0.7,-0.39,14.56,2.30E-05,0.287103,12,XEM,8999999999
12,249048000,519959119,eos,1512549570,2567610124.00,,EOS,2.26,29.56,69.66,0.00039466,4.9381,13,EOS,1000000000
13,113352000,65000000,neo,1512549558,2452898500.00,,NEO,1.24,-7.28,0.2,0.003016,37.7369,14,NEO,100000000
14,257838000,17833877881,stellar,1512549549,2407074165.00,,Stellar Lumens,-2.71,39.48,51.09,1.08E-05,0.134972,15,XLM,1.03492E+11
15,125744000,55817225,monacoin,1512549544,1119570733.00,,MonaCoin,17.1,109.98,251.44,0.00160305,20.0578,16,MONA,55817225
16,24598100,3185692,bitconnect,1512549562,1106524562.00,28000000,BitConnect,0.49,3.7,15.49,0.0277602,347.342,17,BCC,8392580
17,69659800,115641028,lisk,1512549553,1046840406.00,,Lisk,1.06,-2.52,15.79,0.00072349,9.0525,18,LSK,115641028
18,189601000,2774181,zcash,1512549559,980259719.00,,Zcash,-0.99,9,-2.2,0.0282404,353.351,19,ZEC,2774181
19,60038600,102042552,omisego,1512549572,957831596.00,,OmiseGO,-0.72,-8.06,3.93,0.00075019,9.38659,20,OMG,140245398
20,142122000,73696328,qtum,1512549568,914799889.00,,Qtum,0.36,-9.85,-16.12,0.00099208,12.4131,21,QTUM,100196328
21,1084790000,814017348,tether,1512549549,815059290.00,,Tether,0.17,-0.07,-0.06,8.00E-05,1.00128,22,USDT,844999482
22,46766600,100000000,waves,1512549556,706319000.00,,Waves,0.97,-4.33,22.21,0.0005645,7.06319,23,WAVES,100000000
23,37334000,98649745,stratis,1512549559,695914763.00,,Stratis,1.48,-6.64,16.87,0.0005638,7.0544,24,STRAT,98649745
24,1567790,41252246,populous,1512549571,653575834.00,53252246,Populous,-0.39,16.05,48.46,0.00126623,15.8434,25,PPT,53252246
25,78141400,42337077,hshare,1512549574,651059567.00,84000000,Hshare,0.24,-9.33,-18.18,0.00122903,15.378,26,HSR,42337077
26,9387460,998999495,ardor,1512549558,545431746.00,998999495,Ardor,1.28,-6.55,52.61,4.36E-05,0.545978,27,ARDR,998999495
27,17336300,2603860000,bitshares,1512549545,477154741.00,3600570502,BitShares,4.99,9.2,9.18,1.47E-05,0.183249,28,BTS,2603860000
28,6102460,1.83254E+11,bytecoin-bcn,1512549560,418250537.00,1.8447E+11,Bytecoin,-2.43,0.39,26.99,1.80E-07,0.00228236,29,BCN,1.83254E+11
29,20770100,97981284,ark,1512549568,416343052.00,,Ark,0.29,-2.28,26.98,0.0003396,4.24921,30,ARK,129231284
30,72175700,998999942,nxt,1512549541,395859721.00,1000000000,Nxt,2.35,-6.89,97.57,3.17E-05,0.396256,31,NXT,998999942
31,42070800,41839200,vertcoin,1512549543,368766943.00,84000000,Vertcoin,-0.51,-9.19,62.37,0.00070442,8.81391,32,VTC,41839200
32,5728340,11000000,augur,1512549552,362217900.00,,Augur,-0.27,-7.71,13.02,0.00263173,32.9289,33,REP,11000000
33,3943880,6301732,decred,1512549553,335508004.00,,Decred,0.79,-10.74,-10.55,0.00425508,53.2406,34,DCR,6721732
34,5783640,246433508,steem,1512549555,335447755.00,,Steem,1.63,-9.74,19.1,0.00010879,1.36121,35,STEEM,263407602
35,14735600,350000000,qash,1512549587,333761750.00,,QASH,-2.03,-0.07,-31.5,7.62E-05,0.953605,36,QASH,1000000000
36,9636190,103690368,komodo,1512549561,316840437.00,,Komodo,0.25,-10.03,2.02,0.00024421,3.05564,37,KMD,103690368
37,137522000,216092371,einsteinium,1512549543,314678033.00,,Einsteinium,1.63,66.46,229.46,0.00011638,1.45622,38,EMC2,216092371
38,13437700,50741341,salt,1512549578,309601337.00,,SALT,-0.97,-7.35,40.82,0.00048765,6.10156,39,SALT,120000000
39,1217790,2026045,veritaseum,1512549568,293207270.00,,Veritaseum,1.04,18.03,37.52,0.0115662,144.719,40,VERI,100000000
40,8154560,1.12218E+11,dogecoin,1512549542,291381251.00,,Dogecoin,2.13,-0.81,9.49,2.10E-07,0.00259657,41,DOGE,1.12218E+11
41,22043900,31377500609,siacoin,1512549551,286625310.00,,Siacoin,2.38,-4.11,37.69,7.30E-07,0.00913474,42,SC,31377500609
42,6531250,833032000,golem-network-tokens,1512549565,284913605.00,,Golem,-0.2,-6.03,3.53,2.73E-05,0.34202,43,GNT,1000000000
43,4484240,452552412,maidsafecoin,1512549544,283377459.00,,MaidSafeCoin,3.02,3.82,16.14,5.00E-05,0.626176,44,MAID,452552412
